Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.00000000, 0, 0, 0, 0, 0, 0, 0, 0
0.00000110, 0, 0, 0, 0, 1, 0, 0, 0
0.00000111, 0, 0, 0, 0, 0, 0, 0, 0
0.00000113, 1, 1, 1, 1, 1, 0, 1, 1
0.00000114, 0, 0, 0, 0, 0, 0, 0, 0
0.00000116, 1, 1, 1, 1, 1, 0, 1, 1
0.00000119, 1, 0, 0, 0, 0, 0, 1, 1
0.00000120, 0, 0, 0, 0, 0, 0, 0, 0
0.00000122, 0, 1, 0, 1, 0, 0, 0, 1
0.00000708, 1, 1, 0, 1, 0, 0, 0, 1
0.00000709, 1, 1, 1, 0, 1, 0, 1, 1
0.00000710, 0, 0, 1, 0, 0, 0, 0, 1
0.00000908, 1, 1, 1, 0, 1, 0, 1, 1
0.00000909, 1, 1, 1, 0, 1, 0, 1, 0
0.00000910, 0, 0, 0, 0, 1, 0, 1, 0
0.00000912, 1, 0, 0, 0, 1, 0, 1, 0
0.00000913, 1, 0, 0, 1, 1, 0, 0, 1
0.00000914, 1, 1, 1, 0, 1, 0, 1, 0
0.00001009, 1, 1, 1, 0, 1, 0, 0, 1
0.00001108, 1, 1, 1, 1, 1, 0, 0, 1
0.00001109, 0, 1, 0, 1, 1, 0, 0, 1
0.00001209, 1, 0, 0, 1, 1, 0, 0, 1
0.00001210, 0, 1, 0, 1, 1, 0, 0, 1
0.00001211, 1, 0, 0, 1, 1, 0, 0, 1
0.00001213, 0, 1, 0, 1, 0, 0, 0, 1
0.00001309, 1, 0, 0, 1, 1, 0, 0, 1
0.00001310, 0, 1, 0, 1, 0, 0, 0, 1
0.00001311, 1, 0, 0, 1, 1, 0, 0, 1
0.00001312, 0, 1, 0, 1, 1, 0, 0, 1
0.00001313, 0, 1, 0, 1, 0, 0, 0, 1
0.00001409, 1, 0, 0, 1, 1, 0, 0, 1
0.00001410, 0, 1, 0, 1, 0, 0, 0, 1
0.00001609, 1, 0, 0, 1, 1, 0, 0, 1
0.00001610, 0, 1, 0, 1, 0, 0, 0, 1
0.00001809, 0, 0, 0, 0, 0, 0, 0, 0
0.00001909, 1, 0, 0, 0, 1, 0, 0, 0
0.00001910, 0, 0, 0, 0, 0, 0, 0, 0
0.00001912, 1, 0, 0, 0, 1, 0, 0, 0
0.00001913, 0, 0, 0, 0, 0, 0, 0, 0
0.00003110, 0, 0, 0, 0, 1, 0, 0, 0
0.00003112, 0, 0, 0, 0, 0, 0, 0, 0
0.00003308, 1, 1, 1, 1, 1, 0, 1, 0
0.00003309, 1, 0, 1, 1, 1, 0, 1, 1
0.00003310, 0, 0, 0, 0, 0, 0, 0, 0
0.00003311, 1, 1, 1, 0, 0, 0, 1, 1
0.00003314, 1, 1, 1, 0, 1, 0, 1, 1
0.00003315, 0, 0, 0, 0, 1, 0, 0, 0
0.00003508, 1, 1, 1, 0, 1, 0, 1, 0
0.00003510, 1, 1, 1, 1, 1, 0, 1, 1
0.00003512, 1, 0, 0, 1, 1, 0, 1, 0
0.00003709, 0, 0, 1, 1, 0, 0, 1, 1
0.00003710, 1, 0, 0, 1, 1, 0, 1, 0
0.00003809, 1, 0, 0, 0, 1, 0, 0, 1
0.00003908, 1, 0, 0, 1, 1, 0, 0, 1
0.00003909, 1, 1, 0, 1, 1, 0, 0, 1
0.00003910, 1, 1, 0, 0, 1, 0, 0, 0
0.00004009, 1, 1, 0, 1, 1, 0, 0, 1
0.00004010, 0, 0, 0, 0, 0, 0, 1, 0
0.00004108, 0, 0, 0, 1, 1, 0, 1, 0
0.00004109, 1, 1, 1, 1, 1, 0, 0, 1
0.00004112, 1, 1, 0, 1, 1, 0, 0, 1
0.00004309, 0, 1, 0, 1, 1, 0, 0, 1
0.00004409, 0, 1, 1, 0, 0, 0, 1, 0
0.00004509, 1, 0, 1, 0, 0, 0, 0, 1
0.00004609, 0, 1, 1, 0, 0, 0, 1, 0
0.00004709, 1, 1, 1, 0, 1, 0, 1, 0
0.00004710, 0, 0, 0, 0, 0, 0, 0, 0
0.00006110, 0, 0, 0, 0, 1, 0, 0, 0
0.00006111, 0, 0, 0, 0, 0, 0, 0, 0
0.00006113, 1, 1, 1, 1, 1, 0, 1, 1
0.00006114, 0, 0, 1, 0, 0, 0, 0, 0
0.00006115, 0, 0, 0, 0, 0, 0, 0, 0
0.00006116, 1, 1, 1, 1, 1, 0, 1, 1
0.00006119, 1, 1, 0, 1, 1, 0, 1, 1
0.00006120, 0, 0, 0, 0, 0, 0, 0, 0
0.00006122, 0, 1, 0, 1, 0, 0, 0, 1
0.00006123, 1, 0, 0, 1, 1, 0, 0, 1
0.00006125, 0, 1, 0, 1, 0, 0, 0, 1
0.00006209, 1, 0, 0, 1, 1, 0, 0, 1
0.00006210, 0, 1, 0, 1, 0, 0, 0, 1
0.00006211, 1, 0, 0, 1, 1, 0, 0, 1
0.00006212, 1, 1, 0, 1, 1, 0, 0, 1
0.00006213, 0, 1, 0, 1, 0, 0, 0, 1
0.00006309, 1, 0, 0, 1, 1, 0, 0, 1
0.00006510, 1, 0, 0, 0, 0, 0, 1, 1
0.00006511, 0, 0, 0, 0, 0, 0, 1, 0
0.00006608, 0, 0, 0, 1, 0, 0, 1, 0
0.00006609, 1, 0, 0, 1, 1, 0, 1, 1
0.00006610, 1, 1, 1, 1, 0, 0, 1, 1
0.00006613, 1, 1, 0, 1, 1, 0, 0, 1
0.00006708, 1, 1, 0, 1, 1, 0, 1, 1
0.00006709, 0, 1, 1, 1, 0, 0, 1, 1
0.00006809, 1, 1, 0, 1, 1, 0, 0, 1
0.00006910, 1, 1, 1, 1, 1, 0, 1, 1
0.00006911, 1, 1, 0, 1, 1, 0, 0, 1
0.00007009, 0, 0, 0, 0, 0, 0, 0, 0
0.00007108, 0, 0, 0, 1, 1, 0, 0, 0
0.00007109, 1, 0, 0, 1, 1, 0, 0, 0
0.00007110, 0, 0, 0, 0, 0, 0, 0, 0
0.00007111, 1, 0, 0, 0, 0, 0, 0, 1
0.00007112, 1, 0, 1, 0, 0, 0, 0, 1
0.00007209, 0, 0, 0, 0, 1, 0, 0, 0
0.00007308, 1, 1, 1, 0, 1, 0, 0, 0
0.00007309, 1, 1, 1, 0, 1, 0, 1, 0
0.00007310, 1, 1, 1, 1, 1, 0, 1, 1
0.00007312, 0, 1, 0, 1, 1, 0, 1, 0
0.00007409, 1, 1, 0, 1, 1, 0, 0, 1
0.00007410, 1, 1, 1, 1, 1, 0, 0, 1
0.00007412, 1, 1, 0, 1, 1, 0, 0, 1
0.00007413, 0, 0, 0, 0, 0, 0, 0, 1
0.00007414, 0, 0, 0, 0, 0, 0, 0, 0
0.00007508, 0, 0, 0, 1, 1, 0, 0, 0
0.00007509, 1, 0, 0, 1, 0, 0, 0, 0
0.00007510, 0, 0, 0, 0, 0, 0, 0, 0
0.00007511, 1, 1, 0, 1, 1, 0, 0, 0
0.00007512, 1, 1, 0, 1, 1, 0, 0, 1
0.00007609, 0, 0, 0, 0, 0, 0, 0, 0
0.00009110, 0, 0, 0, 0, 1, 0, 0, 0
0.00009111, 0, 0, 0, 0, 0, 0, 0, 0
0.00009113, 1, 1, 1, 1, 1, 0, 1, 1
0.00009114, 1, 0, 1, 0, 0, 0, 0, 0
0.00009115, 0, 0, 0, 0, 0, 0, 0, 0
0.00009116, 1, 1, 1, 1, 1, 0, 1, 1
0.00009120, 0, 0, 0, 0, 0, 0, 0, 0
0.00009122, 0, 1, 0, 1, 0, 0, 0, 1
0.00009123, 1, 0, 0, 1, 1, 0, 0, 1
0.00009125, 0, 1, 0, 1, 0, 0, 0, 1
0.00009209, 1, 0, 0, 1, 1, 0, 0, 1
0.00009210, 0, 1, 0, 1, 0, 0, 0, 1
0.00009409, 1, 0, 0, 1, 1, 0, 0, 1
0.00009410, 0, 0, 0, 1, 0, 0, 0, 1
0.00009509, 1, 0, 0, 1, 1, 0, 0, 1
0.00009510, 0, 0, 0, 1, 0, 0, 0, 1
0.00009609, 1, 0, 0, 1, 1, 0, 0, 1
0.00009610, 0, 0, 0, 1, 0, 0, 0, 1
0.00009709, 1, 0, 0, 1, 1, 0, 0, 1
0.00009710, 0, 0, 0, 1, 0, 0, 0, 1
0.00009809, 1, 0, 0, 1, 1, 0, 0, 1
0.00009810, 0, 0, 0, 1, 0, 0, 0, 1
0.00009909, 1, 0, 0, 1, 1, 0, 0, 1
0.00009910, 0, 0, 0, 1, 0, 0, 0, 1
0.00010009, 1, 0, 0, 1, 1, 0, 0, 1
0.00010010, 0, 0, 0, 1, 0, 0, 0, 1
0.00010109, 1, 0, 0, 1, 1, 0, 0, 1
0.00010110, 0, 0, 0, 1, 0, 0, 0, 1
0.00010209, 1, 0, 0, 1, 1, 0, 0, 1
0.00010210, 0, 0, 0, 1, 0, 0, 0, 1
0.00010309, 1, 0, 0, 1, 1, 0, 0, 1
0.00010310, 0, 0, 0, 1, 0, 0, 0, 1
0.00010409, 1, 0, 0, 1, 1, 0, 0, 1
0.00010410, 0, 0, 0, 1, 0, 0, 0, 1
0.00010509, 1, 0, 0, 1, 1, 0, 0, 1
0.00010510, 0, 0, 0, 1, 0, 0, 0, 1
0.00010609, 1, 0, 0, 1, 1, 0, 0, 1
0.00010610, 1, 1, 1, 1, 1, 0, 1, 1
0.00010611, 1, 1, 1, 1, 1, 0, 0, 1
0.00010612, 1, 0, 0, 1, 1, 0, 0, 1
0.00010809, 0, 0, 0, 0, 0, 0, 0, 0
0.00010908, 0, 0, 0, 1, 1, 0, 0, 0
0.00010909, 0, 0, 0, 0, 0, 0, 0, 0
0.00010912, 1, 1, 1, 1, 0, 0, 0, 0
0.00010913, 0, 0, 0, 0, 0, 0, 0, 0
0.00012110, 0, 0, 0, 0, 1, 0, 0, 0
