Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.00000, 0, 0, 0, 0, 0, 0, 0, 0
0.00020, 0, 1, 0, 0, 0, 0, 0, 0
0.00025, 1, 1, 1, 1, 0, 0, 1, 1
0.00030, 1, 0, 0, 1, 1, 0, 0, 1
0.00035, 0, 1, 0, 1, 0, 0, 0, 1
0.00040, 0, 0, 1, 1, 0, 0, 1, 1
0.00065, 0, 0, 0, 1, 0, 0, 0, 1
0.00070, 1, 1, 1, 0, 1, 0, 1, 0
0.00075, 1, 1, 0, 0, 1, 0, 0, 0
0.00080, 0, 0, 0, 0, 0, 0, 0, 0
0.00120, 0, 0, 1, 0, 0, 0, 1, 0
0.00125, 1, 0, 1, 0, 1, 0, 1, 0
0.00130, 1, 0, 0, 1, 1, 0, 0, 1
0.00135, 1, 1, 0, 1, 1, 0, 0, 1
0.00145, 0, 0, 1, 1, 0, 0, 1, 1
0.00165, 0, 1, 0, 1, 0, 0, 0, 1
0.00170, 0, 1, 1, 0, 0, 0, 1, 0
0.00175, 1, 0, 1, 0, 1, 0, 1, 0
0.00180, 1, 0, 0, 0, 1, 0, 0, 0
0.00185, 0, 0, 0, 0, 0, 0, 0, 0
0.00220, 0, 1, 0, 0, 0, 0, 0, 0
0.00225, 0, 0, 1, 0, 0, 0, 1, 0
0.00230, 1, 1, 1, 1, 0, 0, 1, 1
0.00235, 0, 1, 0, 1, 0, 0, 0, 1
0.00240, 0, 0, 1, 1, 0, 0, 1, 1
0.00265, 1, 0, 0, 1, 1, 0, 0, 1
0.00270, 0, 1, 1, 0, 0, 0, 1, 0
0.00275, 0, 1, 0, 0, 0, 0, 0, 0
0.00280, 0, 0, 0, 0, 0, 0, 0, 0
0.00320, 0, 1, 0, 0, 0, 0, 0, 0
0.00325, 0, 0, 1, 0, 0, 0, 1, 0
0.00330, 0, 0, 0, 1, 0, 0, 0, 1
0.00335, 0, 1, 0, 1, 0, 0, 0, 1
0.00340, 0, 0, 1, 1, 0, 0, 1, 1
0.00365, 1, 0, 0, 1, 1, 0, 0, 1
0.00370, 1, 0, 1, 0, 1, 0, 1, 0
0.00375, 1, 1, 0, 0, 1, 0, 0, 0
0.00380, 0, 0, 0, 0, 0, 0, 0, 0
0.00420, 0, 1, 0, 0, 0, 0, 0, 0
0.00425, 0, 0, 1, 0, 0, 0, 1, 0
0.00430, 1, 0, 0, 1, 1, 0, 0, 1
0.00435, 0, 0, 1, 1, 0, 0, 1, 1
0.00460, 1, 0, 1, 1, 1, 0, 1, 1
0.00465, 1, 0, 0, 1, 1, 0, 0, 1
0.00470, 0, 0, 1, 0, 0, 0, 1, 0
0.00480, 0, 0, 0, 0, 0, 0, 0, 0
0.00520, 1, 1, 0, 0, 1, 0, 0, 0
0.00525, 0, 1, 1, 0, 0, 0, 1, 0
0.00530, 1, 1, 1, 0, 1, 0, 1, 0
0.00535, 0, 1, 0, 1, 0, 0, 0, 1
0.00545, 0, 1, 1, 1, 0, 0, 1, 1
0.00555, 1, 0, 1, 1, 1, 0, 1, 1
0.00565, 1, 1, 0, 1, 1, 0, 0, 1
0.00570, 1, 1, 1, 0, 1, 0, 1, 0
0.00575, 1, 1, 0, 0, 1, 0, 0, 0
0.00580, 1, 0, 0, 0, 1, 0, 0, 0
0.00620, 1, 1, 0, 0, 1, 0, 0, 0
0.00625, 1, 0, 1, 0, 1, 0, 1, 0
0.00630, 1, 1, 1, 0, 1, 0, 1, 1
0.00635, 0, 1, 0, 1, 0, 0, 0, 1
0.00640, 0, 0, 1, 1, 0, 0, 1, 1
0.00665, 1, 0, 1, 1, 1, 0, 0, 1
0.00670, 1, 1, 1, 0, 1, 0, 1, 0
0.00675, 1, 1, 0, 0, 1, 0, 0, 0
0.00680, 1, 0, 0, 0, 1, 0, 0, 0
0.00705, 0, 0, 0, 0, 0, 0, 0, 0
0.00720, 0, 1, 0, 0, 0, 0, 0, 0
0.00725, 0, 0, 1, 0, 0, 0, 1, 0
0.00730, 1, 1, 0, 1, 1, 0, 0, 1
0.00745, 0, 0, 1, 1, 0, 0, 1, 1
0.00755, 0, 1, 1, 1, 0, 0, 1, 1
0.00765, 1, 0, 0, 1, 1, 0, 0, 1
0.00770, 0, 0, 1, 0, 0, 0, 1, 0
0.00775, 0, 0, 0, 0, 0, 0, 0, 0
0.00820, 0, 1, 0, 0, 0, 0, 0, 0
0.00825, 0, 1, 1, 0, 0, 0, 1, 0
0.00830, 0, 0, 0, 1, 0, 0, 0, 1
0.00835, 0, 1, 0, 1, 0, 0, 0, 1
0.00840, 0, 0, 1, 1, 0, 0, 1, 1
0.00865, 0, 1, 0, 1, 0, 0, 0, 1
0.00870, 1, 1, 1, 0, 1, 0, 1, 0
0.00875, 0, 0, 0, 0, 0, 0, 0, 0
0.00920, 0, 1, 0, 0, 0, 0, 0, 0
0.00925, 0, 0, 1, 0, 0, 0, 1, 0
0.00930, 0, 0, 0, 1, 0, 0, 0, 1
0.00935, 0, 1, 0, 1, 0, 0, 0, 1
0.00940, 0, 0, 1, 1, 0, 0, 1, 1
0.00965, 0, 1, 0, 1, 1, 0, 0, 1
0.00970, 0, 1, 1, 0, 0, 0, 1, 0
0.00975, 1, 1, 0, 0, 1, 0, 0, 0
0.00980, 0, 0, 0, 0, 0, 0, 0, 0
0.01020, 0, 1, 0, 0, 0, 0, 0, 0
0.01025, 1, 0, 1, 0, 1, 0, 1, 0
0.01030, 0, 1, 0, 1, 0, 0, 0, 1
0.01040, 0, 0, 1, 1, 0, 0, 1, 1
0.01065, 0, 0, 0, 1, 0, 0, 0, 1
0.01070, 0, 1, 1, 0, 0, 0, 1, 0
0.01075, 0, 0, 1, 0, 0, 0, 0, 0
0.01080, 0, 0, 0, 0, 0, 0, 0, 0
0.01120, 0, 1, 0, 0, 0, 0, 0, 0
0.01125, 0, 0, 1, 0, 0, 0, 1, 0
0.01130, 1, 1, 0, 1, 1, 0, 0, 1
0.01135, 0, 1, 0, 1, 0, 0, 0, 1
0.01140, 0, 0, 1, 1, 0, 0, 1, 1
0.01165, 1, 0, 0, 1, 1, 0, 0, 1
0.01170, 0, 1, 1, 0, 0, 0, 1, 0
0.01175, 0, 0, 1, 0, 0, 0, 1, 0
0.01180, 0, 0, 0, 0, 0, 0, 0, 0
0.01220, 0, 1, 0, 0, 0, 0, 0, 0
0.01225, 0, 0, 1, 0, 0, 0, 1, 0
0.01230, 0, 0, 0, 1, 0, 0, 0, 1
0.01235, 0, 0, 1, 1, 0, 0, 1, 1
0.01265, 0, 0, 0, 1, 0, 0, 0, 1
0.01270, 1, 1, 1, 0, 1, 0, 1, 0
0.01275, 1, 0, 0, 0, 1, 0, 0, 0
0.01280, 0, 0, 0, 0, 0, 0, 0, 0
0.01320, 0, 1, 0, 0, 0, 0, 0, 0
0.01325, 1, 1, 1, 0, 1, 0, 1, 0
0.01330, 1, 0, 0, 1, 1, 0, 0, 1
0.01335, 0, 0, 1, 1, 0, 0, 1, 1
0.01365, 0, 1, 0, 1, 0, 0, 0, 1
0.01370, 0, 1, 1, 0, 0, 0, 1, 0
0.01375, 0, 0, 1, 0, 0, 0, 1, 0
0.01380, 0, 0, 0, 0, 0, 0, 0, 0
0.01420, 0, 1, 0, 0, 0, 0, 0, 0
0.01425, 0, 1, 1, 0, 0, 0, 1, 0
0.01430, 0, 1, 0, 1, 0, 0, 0, 1
0.01440, 0, 0, 1, 1, 0, 0, 1, 1
0.01465, 0, 1, 0, 1, 0, 0, 0, 1
0.01470, 0, 1, 1, 0, 0, 0, 1, 0
0.01475, 1, 1, 0, 0, 1, 0, 0, 0
0.01480, 0, 0, 0, 0, 0, 0, 0, 0
0.01520, 0, 0, 1, 0, 1, 0, 0, 0
0.01525, 0, 1, 1, 0, 0, 0, 1, 0
0.01530, 0, 1, 0, 1, 0, 0, 0, 1
0.01540, 0, 0, 1, 1, 0, 0, 1, 1
